rep,seed,theta_hat_n,current_ci_lo,current_ci_hi,current_covers,corrected_ci_lo,corrected_ci_hi,corrected_covers
0,2000,0.378917378917379,0.1270655270655271,0.4997150997150997,True,0.27087261282508157,0.6041805233173578,True
1,2001,0.4074074074074075,0.10669515669515671,0.41182336182336193,True,0.40345765770356173,0.6763726211112284,False
2,2002,0.2991452991452992,0.20042735042735046,0.4105413105413106,True,0.19950967758377006,0.38744131671836785,True
3,2003,0.41880341880341887,0.25170940170940176,0.4245014245014246,True,0.41370696757265013,0.5682568511457124,False
4,2004,0.321937321937322,0.08960113960113962,0.4276353276353277,True,0.22739815160656163,0.5297451208719178,True
5,2005,0.2706552706552707,0.06623931623931625,0.38333333333333336,True,0.16987294756681862,0.45349045855909964,True
6,2006,0.10541310541310543,-0.027492877492877495,0.29273504273504275,True,-0.06213272879841723,0.22428783037078653,False
7,2007,0.3447293447293448,0.18589743589743593,0.46937321937321935,True,0.23324447405627843,0.4867929227870238,True
8,2008,0.3048433048433049,0.09971509971509973,0.387037037037037,True,0.23132699583946573,0.48831554915098,True
9,2009,0.38461538461538464,0.17763532763532766,0.41880341880341887,True,0.3540366772307721,0.5697439755730596,False
10,2010,0.4472934472934474,0.21438746438746442,0.5232193732193733,True,0.37938323464345386,0.6556108913511202,False
11,2011,0.3276353276353277,0.12635327635327637,0.4276353276353277,True,0.23819260853533614,0.5076674673622339,True
12,2012,0.1680911680911681,0.11239316239316241,0.3478632478632479,True,0.007298131760414023,0.21790897887193267,False
13,2013,0.3390313390313391,0.1827635327635328,0.4105413105413106,True,0.2750708760851912,0.4788015140351721,True
14,2014,0.1680911680911681,0.02820512820512821,0.3377492877492878,True,0.016344332695028524,0.29320904580654095,True
15,2015,0.21937321937321938,0.035185185185185194,0.378917378917379,True,0.07667258491169429,0.38411600540781926,True
16,2016,0.12250712250712252,-0.08005698005698006,0.307977207977208,True,-0.043382365054400365,0.30368596376095164,True
17,2017,0.3162393162393163,0.1871794871794872,0.4048433048433049,True,0.23698949960086219,0.4316739366162285,True
18,2018,0.3105413105413106,0.08974358974358976,0.37250712250712253,True,0.2551174034067005,0.5080287957335998,True
19,2019,0.38461538461538464,0.14216524216524218,0.4680911680911681,True,0.3099523740846225,0.601469384484595,False
20,2020,0.3390313390313391,0.25484330484330486,0.4871794871794872,True,0.20652360703135156,0.4143314059659474,True
21,2021,0.2991452991452992,0.1864672364672365,0.3921652421652422,True,0.21594573280299934,0.3999276222337512,True
22,2022,0.39031339031339035,0.24601139601139604,0.5105413105413106,True,0.28277826934416966,0.519381017732609,False
23,2023,0.3048433048433049,0.18205128205128207,0.38461538461538464,True,0.23349298761254245,0.41467182886637155,True
24,2024,0.321937321937322,0.08874643874643877,0.4333333333333334,True,0.22230170037579292,0.5305095885565332,True
25,2025,0.08262108262108263,-0.04900284900284901,0.344017094017094,True,-0.15117861759043383,0.20034910605184078,False
26,2026,0.33333333333333337,0.11579564660518446,0.43703703703703706,True,0.2405779209333421,0.5279049554102112,True
27,2027,0.33333333333333337,0.12962962962962965,0.4447293447293448,True,0.23369771177180423,0.5155314648333162,True
28,2028,0.3618233618233619,0.22065527065527066,0.4668091168091168,True,0.2679212478964477,0.4880879410656578,True
29,2029,0.21937321937321938,0.025071225071225077,0.3206552706552707,True,0.1287837987463048,0.3931622063424338,True
30,2030,0.2934472934472935,0.1408831908831909,0.37635327635327637,True,0.21929392803960815,0.4299047751511268,True
31,2031,0.3618233618233619,0.14216524216524218,0.4776353276353277,True,0.258237990557987,0.5582915567694973,True
32,2032,0.17948717948717952,0.05541310541310542,0.35046227669404983,True,0.026562403561500914,0.29046240503716914,True
33,2033,0.21367521367521372,0.03703703703703704,0.3478632478632479,True,0.09365378719060966,0.37166520182904506,True
34,2034,0.39601139601139607,0.11495726495726498,0.48019943019943023,True,0.3207113290767878,0.6473938529690648,False
35,2035,0.4131054131054132,0.27891737891737894,0.5074074074074074,False,0.3287591452361905,0.5331268395900174,False
36,2036,0.21937321937321938,-0.03817663817663818,0.3452991452991453,True,0.10674164717322998,0.44973281500396695,True
37,2037,0.321937321937322,0.06623931623931625,0.4326210826210826,True,0.2229387567796391,0.5506405709180697,True
38,2038,0.207977207977208,0.1522792022792023,0.41182336182336193,True,0.02565166519645587,0.25779501875797256,False
39,2039,0.2706552706552707,0.11623931623931627,0.3693732193732194,True,0.18235925308220205,0.40876909900910385,True
